Date,District,Rain,rain,month,year,day
2010-01-10,Sholingur,-,0.0,1,2010,10
2010-01-10,Tirupattur,2,2.0,1,2010,10
2010-01-10,Vaniyambadi,-,0.0,1,2010,10
2010-01-10,Vellore,-,0.0,1,2010,10
2010-01-10,Wallajah,-,0.0,1,2010,10
2010-01-11,Alangayam,-,0.0,1,2010,11
2010-01-11,Ambur,-,0.0,1,2010,11
2010-01-11,Arakkonam,-,0.0,1,2010,11
2010-01-11,Arcot,-,0.0,1,2010,11
2010-01-11,Gudiyatham,11.4,11.4,1,2010,11
2010-01-11,Melalathur,7.2,7.2,1,2010,11
2010-01-11,Sholingur,-,0.0,1,2010,11
2010-01-11,Tirupattur,1.5,1.5,1,2010,11
2010-01-11,Vaniyambadi,-,0.0,1,2010,11
2010-01-11,Vellore,44.8,44.8,1,2010,11
2010-01-11,Wallajah,-,0.0,1,2010,11
2010-01-12,Alangayam,-,0.0,1,2010,12
2010-01-12,Ambur,-,0.0,1,2010,12
2010-01-12,Arakkonam,-,0.0,1,2010,12
2010-01-12,Arcot,-,0.0,1,2010,12
2010-01-12,Gudiyatham,-,0.0,1,2010,12
2010-01-12,Melalathur,-,0.0,1,2010,12
2010-01-12,Sholingur,20,20.0,1,2010,12
2010-01-12,Tirupattur,-,0.0,1,2010,12
2010-01-12,Vaniyambadi,-,0.0,1,2010,12
2010-01-12,Vellore,-,0.0,1,2010,12
2010-01-12,Wallajah,-,0.0,1,2010,12
2010-01-13,Alangayam,-,0.0,1,2010,13
2010-01-13,Ambur,-,0.0,1,2010,13
2010-01-13,Arakkonam,-,0.0,1,2010,13
2010-01-13,Arcot,-,0.0,1,2010,13
2010-01-13,Gudiyatham,-,0.0,1,2010,13
2010-01-13,Melalathur,-,0.0,1,2010,13
2010-01-13,Sholingur,-,0.0,1,2010,13
2010-01-13,Tirupattur,-,0.0,1,2010,13
2010-01-13,Vaniyambadi,-,0.0,1,2010,13
2010-01-13,Vellore,-,0.0,1,2010,13
2010-01-13,Wallajah,-,0.0,1,2010,13
2010-01-14,Alangayam,-,0.0,1,2010,14
2010-01-14,Ambur,-,0.0,1,2010,14
2010-01-14,Arakkonam,-,0.0,1,2010,14
2010-01-14,Arcot,-,0.0,1,2010,14
2010-01-14,Gudiyatham,-,0.0,1,2010,14
2010-01-14,Melalathur,-,0.0,1,2010,14
2010-01-14,Sholingur,-,0.0,1,2010,14
2010-01-14,Tirupattur,-,0.0,1,2010,14
2010-01-14,Vaniyambadi,-,0.0,1,2010,14
2010-01-14,Vellore,-,0.0,1,2010,14
2010-01-14,Wallajah,-,0.0,1,2010,14
2010-01-15,Alangayam,-,0.0,1,2010,15
2010-01-15,Ambur,-,0.0,1,2010,15
2010-01-15,Arakkonam,-,0.0,1,2010,15
2010-01-15,Arcot,-,0.0,1,2010,15
2010-01-15,Gudiyatham,-,0.0,1,2010,15
2010-01-15,Melalathur,-,0.0,1,2010,15
2010-01-15,Sholingur,-,0.0,1,2010,15
2010-01-15,Tirupattur,-,0.0,1,2010,15
2010-01-15,Vaniyambadi,-,0.0,1,2010,15
2010-01-15,Vellore,-,0.0,1,2010,15
2010-01-15,Wallajah,-,0.0,1,2010,15
2010-01-16,Alangayam,-,0.0,1,2010,16
2010-01-16,Ambur,-,0.0,1,2010,16
2010-01-16,Arakkonam,-,0.0,1,2010,16
2010-01-16,Arcot,-,0.0,1,2010,16
2010-01-16,Gudiyatham,-,0.0,1,2010,16
2010-01-16,Melalathur,-,0.0,1,2010,16
